frame,timestamp,hand_idx,landmark_idx,x,y,z,x_rel,y_rel,z_rel
5,1776365111.7229,0,0,0.152964,0.763251,-0.000000,0.000000,0.000000,0.000000
5,1776365111.7229,0,1,0.173733,0.753987,0.020432,0.020769,-0.009265,0.020432
5,1776365111.7229,0,2,0.196606,0.732103,0.024661,0.043642,-0.031148,0.024661
5,1776365111.7229,0,3,0.216218,0.717580,0.023874,0.063254,-0.045671,0.023874
5,1776365111.7229,0,4,0.231772,0.709110,0.021836,0.078808,-0.054142,0.021836
5,1776365111.7229,0,5,0.192987,0.681182,0.004454,0.040023,-0.082069,0.004454
5,1776365111.7229,0,6,0.237591,0.681079,-0.000515,0.084627,-0.082172,-0.000515
5,1776365111.7229,0,7,0.262370,0.698010,-0.001624,0.109406,-0.065241,-0.001624
5,1776365111.7229,0,8,0.276118,0.719094,-0.002464,0.123155,-0.044157,-0.002464
5,1776365111.7229,0,9,0.192044,0.678486,-0.011464,0.039080,-0.084765,-0.011464
5,1776365111.7229,0,10,0.246342,0.674510,-0.021009,0.093379,-0.088742,-0.021009
5,1776365111.7229,0,11,0.274363,0.699843,-0.025957,0.121399,-0.063408,-0.025957
5,1776365111.7229,0,12,0.287391,0.728362,-0.028783,0.134427,-0.034889,-0.028783
5,1776365111.7229,0,13,0.194082,0.686314,-0.025019,0.041119,-0.076937,-0.025019
5,1776365111.7229,0,14,0.249989,0.687180,-0.032320,0.097025,-0.076072,-0.032320
5,1776365111.7229,0,15,0.273208,0.720192,-0.034199,0.120244,-0.043059,-0.034199
5,1776365111.7229,0,16,0.282158,0.749960,-0.035055,0.129194,-0.013291,-0.035055
5,1776365111.7229,0,17,0.197115,0.702729,-0.037030,0.044151,-0.060522,-0.037030
5,1776365111.7229,0,18,0.239443,0.708206,-0.042452,0.086479,-0.055046,-0.042452
5,1776365111.7229,0,19,0.259200,0.727480,-0.043254,0.106236,-0.035771,-0.043254
5,1776365111.7229,0,20,0.269232,0.746065,-0.043593,0.116269,-0.017186,-0.043593
5,1776365111.7229,1,0,0.140017,0.822513,-0.000000,0.000000,0.000000,0.000000
5,1776365111.7229,1,1,0.188073,0.822414,0.031957,0.048055,-0.000099,0.031957
5,1776365111.7229,1,2,0.216880,0.809896,0.039106,0.076863,-0.012617,0.039106
5,1776365111.7229,1,3,0.241878,0.802813,0.036625,0.101861,-0.019700,0.036625
5,1776365111.7229,1,4,0.257676,0.792658,0.033421,0.117659,-0.029855,0.033421
5,1776365111.7229,1,5,0.190054,0.692009,0.033012,0.050037,-0.130504,0.033012
5,1776365111.7229,1,6,0.239532,0.666894,0.033745,0.099515,-0.155619,0.033745
5,1776365111.7229,1,7,0.269731,0.686845,0.033640,0.129714,-0.135668,0.033640
5,1776365111.7229,1,8,0.285946,0.712333,0.032508,0.145929,-0.110180,0.032508
5,1776365111.7229,1,9,0.184670,0.687194,0.008218,0.044653,-0.135319,0.008218
5,1776365111.7229,1,10,0.248705,0.662722,0.005118,0.108687,-0.159791,0.005118
5,1776365111.7229,1,11,0.279436,0.691958,0.000774,0.139419,-0.130555,0.000774
5,1776365111.7229,1,12,0.289958,0.724799,-0.002104,0.149941,-0.097714,-0.002104
5,1776365111.7229,1,13,0.184323,0.694945,-0.015206,0.044305,-0.127567,-0.015206
5,1776365111.7229,1,14,0.246286,0.684570,-0.015667,0.106269,-0.137943,-0.015667
5,1776365111.7229,1,15,0.272216,0.720032,-0.015442,0.132198,-0.102481,-0.015442
5,1776365111.7229,1,16,0.281028,0.754433,-0.016323,0.141011,-0.068080,-0.016323
5,1776365111.7229,1,17,0.188580,0.715826,-0.037567,0.048563,-0.106687,-0.037567
5,1776365111.7229,1,18,0.237470,0.712139,-0.037960,0.097452,-0.110374,-0.037960
5,1776365111.7229,1,19,0.260585,0.734288,-0.036171,0.120567,-0.088225,-0.036171
5,1776365111.7229,1,20,0.271897,0.758771,-0.035168,0.131880,-0.063741,-0.035168
10,1776365112.0266,0,0,0.158108,0.760698,-0.000000,0.000000,0.000000,0.000000
10,1776365112.0266,0,1,0.183080,0.749066,0.031999,0.024973,-0.011631,0.031999
10,1776365112.0266,0,2,0.206791,0.728283,0.039552,0.048683,-0.032415,0.039552
10,1776365112.0266,0,3,0.226625,0.718073,0.039838,0.068518,-0.042625,0.039838
10,1776365112.0266,0,4,0.242894,0.711107,0.038588,0.084786,-0.049591,0.038588
10,1776365112.0266,0,5,0.198552,0.676929,0.011611,0.040445,-0.083768,0.011611
10,1776365112.0266,0,6,0.239814,0.673266,0.007617,0.081706,-0.087432,0.007617
10,1776365112.0266,0,7,0.263971,0.688555,0.007396,0.105864,-0.072143,0.007396
10,1776365112.0266,0,8,0.278062,0.707035,0.006941,0.119955,-0.053663,0.006941
10,1776365112.0266,0,9,0.195988,0.678510,-0.010478,0.037880,-0.082188,-0.010478
10,1776365112.0266,0,10,0.246837,0.671569,-0.019620,0.088729,-0.089129,-0.019620
10,1776365112.0266,0,11,0.274553,0.695761,-0.022302,0.116446,-0.064936,-0.022302
