frame,timestamp,hand_idx,landmark_idx,x,y,z,x_rel,y_rel,z_rel
60,1776361250.4593,0,0,0.233599,0.758545,0.000000,0.000000,0.000000,0.000000
60,1776361250.4593,0,1,0.246386,0.658389,0.015902,0.012788,-0.100156,0.015902
60,1776361250.4593,0,2,0.279620,0.585991,0.005793,0.046021,-0.172554,0.005793
60,1776361250.4593,0,3,0.315080,0.539757,-0.006352,0.081481,-0.218788,-0.006352
60,1776361250.4593,0,4,0.340587,0.518162,-0.015941,0.106988,-0.240383,-0.015941
60,1776361250.4593,0,5,0.326462,0.572475,-0.040917,0.092863,-0.186069,-0.040917
60,1776361250.4593,0,6,0.399224,0.554395,-0.043373,0.165625,-0.204150,-0.043373
60,1776361250.4593,0,7,0.394889,0.574741,-0.024041,0.161291,-0.183803,-0.024041
60,1776361250.4593,0,8,0.373270,0.586552,-0.009251,0.139671,-0.171993,-0.009251
60,1776361250.4593,0,9,0.340705,0.627845,-0.054559,0.107106,-0.130700,-0.054559
60,1776361250.4593,0,10,0.414923,0.622998,-0.058135,0.181324,-0.135546,-0.058135
60,1776361250.4593,0,11,0.393354,0.643754,-0.028437,0.159756,-0.114791,-0.028437
60,1776361250.4593,0,12,0.361372,0.648831,-0.004264,0.127773,-0.109713,-0.004264
60,1776361250.4593,0,13,0.348449,0.688642,-0.063020,0.114850,-0.069903,-0.063020
60,1776361250.4593,0,14,0.412070,0.682968,-0.058760,0.178471,-0.075576,-0.058760
60,1776361250.4593,0,15,0.389185,0.696281,-0.024012,0.155586,-0.062264,-0.024012
60,1776361250.4593,0,16,0.360044,0.698170,0.000567,0.126446,-0.060375,0.000567
60,1776361250.4593,0,17,0.351443,0.749066,-0.070692,0.117845,-0.009479,-0.070692
60,1776361250.4593,0,18,0.396529,0.741404,-0.058892,0.162930,-0.017140,-0.058892
60,1776361250.4593,0,19,0.374958,0.746827,-0.033386,0.141359,-0.011717,-0.033386
60,1776361250.4593,0,20,0.350242,0.745589,-0.013571,0.116643,-0.012955,-0.013571
65,1776361252.5141,0,0,0.215312,0.686099,0.000000,0.000000,0.000000,0.000000
65,1776361252.5141,0,1,0.230900,0.588436,0.013609,0.015588,-0.097663,0.013609
65,1776361252.5141,0,2,0.266409,0.487310,0.000240,0.051097,-0.198789,0.000240
65,1776361252.5141,0,3,0.285789,0.408064,-0.014974,0.070477,-0.278035,-0.014974
65,1776361252.5141,0,4,0.273188,0.342664,-0.027109,0.057876,-0.343435,-0.027109
65,1776361252.5141,0,5,0.299349,0.485501,-0.041815,0.084037,-0.200598,-0.041815
65,1776361252.5141,0,6,0.382359,0.499381,-0.043235,0.167047,-0.186717,-0.043235
65,1776361252.5141,0,7,0.363010,0.525846,-0.028852,0.147698,-0.160253,-0.028852
65,1776361252.5141,0,8,0.333184,0.525026,-0.021099,0.117872,-0.161073,-0.021099
65,1776361252.5141,0,9,0.310290,0.543557,-0.059050,0.094978,-0.142542,-0.059050
65,1776361252.5141,0,10,0.388077,0.560589,-0.056498,0.172765,-0.125509,-0.056498
65,1776361252.5141,0,11,0.362557,0.579746,-0.033823,0.147245,-0.106353,-0.033823
65,1776361252.5141,0,12,0.330987,0.577431,-0.021816,0.115675,-0.108668,-0.021816
65,1776361252.5141,0,13,0.317999,0.607905,-0.070180,0.102687,-0.078193,-0.070180
65,1776361252.5141,0,14,0.380162,0.616726,-0.056775,0.164850,-0.069373,-0.056775
65,1776361252.5141,0,15,0.358304,0.631967,-0.026254,0.142991,-0.054132,-0.026254
