frame,timestamp,hand_idx,landmark_idx,x,y,z,x_rel,y_rel,z_rel
5,1776371857.3893,0,0,0.360517,0.786263,0.000000,0.000000,0.000000,0.000000
5,1776371857.3893,0,1,0.368744,0.722861,0.006808,0.008227,-0.063401,0.006808
5,1776371857.3893,0,2,0.391704,0.670366,-0.000445,0.031186,-0.115897,-0.000445
5,1776371857.3893,0,3,0.419829,0.640851,-0.007291,0.059311,-0.145411,-0.007291
5,1776371857.3893,0,4,0.444958,0.643342,-0.013206,0.084441,-0.142921,-0.013206
5,1776371857.3893,0,5,0.412780,0.690438,-0.039685,0.052262,-0.095825,-0.039685
5,1776371857.3893,0,6,0.463185,0.675967,-0.048020,0.102668,-0.110296,-0.048020
5,1776371857.3893,0,7,0.486778,0.673656,-0.042493,0.126261,-0.112607,-0.042493
5,1776371857.3893,0,8,0.500006,0.677981,-0.037344,0.139488,-0.108282,-0.037344
5,1776371857.3893,0,9,0.422677,0.730252,-0.044952,0.062160,-0.056011,-0.044952
5,1776371857.3893,0,10,0.482827,0.716363,-0.056791,0.122309,-0.069899,-0.056791
5,1776371857.3893,0,11,0.511507,0.710264,-0.048122,0.150990,-0.075999,-0.048122
5,1776371857.3893,0,12,0.530632,0.709708,-0.040364,0.170115,-0.076555,-0.040364
5,1776371857.3893,0,13,0.428380,0.766856,-0.045299,0.067862,-0.019406,-0.045299
5,1776371857.3893,0,14,0.482509,0.755339,-0.049990,0.121992,-0.030924,-0.049990
5,1776371857.3893,0,15,0.495326,0.748551,-0.033022,0.134809,-0.037711,-0.033022
5,1776371857.3893,0,16,0.499754,0.745886,-0.019838,0.139236,-0.040376,-0.019838
5,1776371857.3893,0,17,0.430025,0.800103,-0.044938,0.069508,0.013840,-0.044938
5,1776371857.3893,0,18,0.467841,0.789389,-0.042240,0.107324,0.003126,-0.042240
5,1776371857.3893,0,19,0.469004,0.782467,-0.027963,0.108487,-0.003796,-0.027963
5,1776371857.3893,0,20,0.463971,0.779273,-0.016595,0.103454,-0.006989,-0.016595
5,1776371857.3893,1,0,0.584618,0.533085,0.000000,0.000000,0.000000,0.000000
5,1776371857.3893,1,1,0.543621,0.514144,0.023429,-0.040997,-0.018941,0.023429
5,1776371857.3893,1,2,0.517812,0.490950,0.021491,-0.066805,-0.042135,0.021491
